"iso_o","Origin","iso_d","Destination","contig","comlang_off","comlang_ethno","colony","comcol","curcol","col45","smctry","dist","distcap","distw","distwces"
"TUN","Tunisia","DZA","Algeria",1,1,1,0,1,0,0,0,642.7219,642.7219,650.602,534.2709
"UGA","Uganda","DZA","Algeria",0,0,0,0,0,0,0,0,5076.526,5076.526,4951.477,4943.459
"ZMB","Zambia","DZA","Algeria",0,0,0,0,0,0,0,0,6396.462,6396.462,6179.43,6172.387
"ZWE","ZImbabwe","DZA","Algeria",0,0,0,0,0,0,0,0,6759.865,6759.865,6714.839,6711.045
"DZA","Algeria","AGO","Angola",0,0,0,0,0,0,0,0,5194.244,5194.244,5223.227,5210.312
"AGO","Angola","AGO","Angola",0,0,0,0,0,0,0,0,419.9666,419.9666,295.5981,67.45548
"BEN","Benin","AGO","Angola",0,0,0,0,0,0,0,0,2071.837,2064.176,2340.251,2307.673
"BWA","Botswana","AGO","Angola",0,0,0,0,0,0,0,0,2223.578,2223.578,2013.847,1975.633
"BFA","Burkina Faso","AGO","Angola",0,0,0,0,0,0,0,0,2876.135,2876.135,3026.398,3008.166
"BDI","Burundi","AGO","Angola",0,0,0,0,0,0,0,0,1878.576,1878.576,1905.42,1888.743
"CMR","Cameroon","AGO","Angola",0,0,0,0,0,0,0,0,1424.688,1424.688,1787.591,1716.957
"CPV","Cape Verde","AGO","Angola",0,1,1,0,1,0,0,0,4839.974,4839.974,5054.01,5043.36
"CAF","Central African Republic","AGO","Angola",0,0,0,0,0,0,0,0,1586.979,1586.979,1745.579,1711.955
"TCD","Chad","AGO","Angola",0,0,0,0,0,0,0,0,2345.135,2345.135,2372.16,2336.726
"COM","Comoros","AGO","Angola",0,0,0,0,0,0,0,0,3301.018,3301.018,3281.956,3271.045
"COG","Congo Republic","AGO","Angola",0,0,1,0,0,0,0,0,556.9467,556.9467,681.5906,592.349
"CIV","Cote d'ivoire","AGO","Angola",0,0,0,0,0,0,0,0,2480.138,2694.584,2712.49,2688.067
"DJI","Djibouti","AGO","Angola",0,0,0,0,0,0,0,0,4015.184,4015.184,4027.682,4020.597
"EGY","Egypt","AGO","Angola",0,0,0,0,0,0,0,0,4736.951,4736.951,4814.249,4802.731
"GNQ","Equatorial Guinea","AGO","Angola",0,0,0,0,0,0,0,0,1485.016,1485.016,1483.461,1436.555
"ERI","Eritrea","AGO","Angola",0,0,0,0,0,0,0,0,3901.954,3901.954,3958.309,3949.715
"ETH","Ethiopia","AGO","Angola",0,0,0,0,0,0,0,0,3464.567,3464.567,3510.41,3496.073
"GAB","Gabon","AGO","Angola",0,0,0,0,0,0,0,0,1110.371,1110.371,1179.842,1118.974
"GMB","Gambia","AGO","Angola",0,0,0,0,0,0,0,0,4132.186,4132.186,4221.764,4210.593
"GHA","Ghana","AGO","Angola",0,0,0,0,0,0,0,0,2192.395,2192.395,2422.776,2394.139
"GIN","Guinea","AGO","Angola",0,0,0,0,0,0,0,0,3804.649,3804.649,3666.297,3647.913
"GNB","Guinea-Bissau","AGO","Angola",0,1,0,0,1,0,0,0,3941.227,3941.227,4045.287,4034.59
"KEN","Kenya","AGO","Angola",0,0,0,0,0,0,0,0,2744.311,2744.311,2758.796,2742.571
"LSO","Lesotho","AGO","Angola",0,0,0,0,0,0,0,0,2721.224,2721.224,2617.787,2596.178
"LBR","Liberia","AGO","Angola",0,0,0,0,0,0,0,0,3154.236,3154.236,3228.089,3212.446
"LBY","Libya","AGO","Angola",0,0,0,0,0,0,0,0,4626.358,4626.358,4687.459,4669.661
"MDG","Madagascar","AGO","Angola",0,0,0,0,0,0,0,0,3857.428,3857.428,3785.104,3772.184
"MWI","Malawi","AGO","Angola",0,0,0,0,0,0,0,0,2314.207,2314.207,2315.348,2296.071
"MLI","Mali","AGO","Angola",0,0,0,0,0,0,0,0,3352.429,3352.429,3462.446,3442.175
"MRT","Mauritania","AGO","Angola",0,0,0,0,0,0,0,0,4395.738,4395.738,4436.974,4414.131
"MUS","Mauritius","AGO","Angola",0,0,0,0,0,0,0,0,4915.372,4915.372,4828.119,4820.691
"MAR","Morocco","AGO","Angola",0,0,0,0,0,0,0,0,5221.762,5221.762,5301.951,5290.166
"MOZ","Mozambique","AGO","Angola",0,1,1,0,1,0,0,0,2794.277,2794.277,2664.913,2638.41
"NAM","Namibia","AGO","Angola",1,0,0,0,0,0,0,0,1582.875,1582.875,1424.021,1325.046
"NER","Niger","AGO","Angola",0,0,0,0,0,0,0,0,2778.376,2778.376,2857.859,2831.526
"NGA","Nigeria","AGO","Angola",0,0,0,0,0,0,0,0,2017.813,2115.098,2209.762,2165.892
"RWA","Rwanda","AGO","Angola",0,0,0,0,0,0,0,0,2014.346,2014.346,1996.588,1981.19
"STP","Sao Tome and Principe","AGO","Angola",0,1,1,0,1,0,0,0,1239.145,1239.145,1389.717,1353.499
"SEN","Senegal","AGO","Angola",0,0,0,0,0,0,0,0,4277.941,4277.941,4348.78,4336.569
"SYC","Seychelles","AGO","Angola",0,0,0,0,0,0,0,0,4687.008,4687.008,4637.132,4631.179
"SLE","Sierra Leone","AGO","Angola",0,0,0,0,0,0,0,0,3517.934,3517.934,3571.074,3557.392
"SOM","Somalia","AGO","Angola",0,0,0,0,0,0,0,0,3760.601,3760.601,3777.943,3755.739
"ZAF","South Africa","AGO","Angola",0,0,0,0,0,0,0,0,2844.23,2458.174,2579.672,2538.542
"SDN","Sudan","AGO","Angola",0,0,0,0,0,0,0,0,3447.449,3447.449,3417.58,3371.885
"SWZ","Swaziland","AGO","Angola",0,0,0,0,0,0,0,0,2711.923,2711.923,2623.159,2603.631
"TZA","Tanzania","AGO","Angola",0,0,0,0,0,0,0,0,2880.082,2498.828,2596.974,2543.851
"TGO","Togo","AGO","Angola",0,0,0,0,0,0,0,0,2128.469,2128.469,2363.266,2333.762
"TUN","Tunisia","AGO","Angola",0,0,0,0,0,0,0,0,5092.534,5092.534,5108.719,5094.735
"UGA","Uganda","AGO","Angola",0,0,0,0,0,0,0,0,2373.897,2373.897,2384.524,2367.616
"ZMB","Zambia","AGO","Angola",1,0,0,0,0,0,0,0,1791.822,1791.822,1683.337,1651.639
"ZWE","ZImbabwe","AGO","Angola",0,0,0,0,0,0,0,0,2170.012,2170.012,2048.661,2022.898
"DZA","Algeria","BEN","Benin",0,1,1,0,1,0,0,0,3387.561,3376.147,3157.913,3141.419
"AGO","Angola","BEN","Benin",0,0,0,0,0,0,0,0,2071.837,2064.176,2340.251,2307.673
"BEN","Benin","BEN","Benin",0,0,0,0,0,0,0,0,126.225,126.225,212.7041,80.77615
"BWA","Botswana","BEN","Benin",0,0,0,0,0,0,0,0,4295.408,4287.558,4329.824,4319.256
"BFA","Burkina Faso","BEN","Benin",1,1,1,0,1,0,0,1,804.3413,812.4222,724.0909,683.7178
"BDI","Burundi","BEN","Benin",0,1,1,0,0,0,0,0,3170.266,3146.213,3278.666,3276.231
"CMR","Cameroon","BEN","Benin",0,1,1,0,1,0,0,0,1037.146,1011.893,1091.019,1055.39
"CPV","Cape Verde","BEN","Benin",0,0,0,0,0,0,0,0,2995.859,3019.589,3009.29,3004.383
"CAF","Central African Republic","BEN","Benin",0,1,1,0,1,0,0,0,1797.871,1769.891,1828.214,1807.635
"TCD","Chad","BEN","Benin",0,1,0,0,1,0,0,0,1511.646,1480.296,1598.426,1577.237
"COM","Comoros","BEN","Benin",0,1,1,0,1,0,0,0,4939.126,4916.762,5078.886,5076.39
"COG","Congo Republic","BEN","Benin",0,1,1,0,1,0,0,0,1843.169,1827.788,1873.698,1857.238
"CIV","Cote d'ivoire","BEN","Benin",0,1,1,0,1,0,0,1,733.3586,892.0865,821.2593,802.7397
"DJI","Djibouti","BEN","Benin",0,1,1,0,1,0,0,0,4500.04,4469.065,4499.757,4499.089
"EGY","Egypt","BEN","Benin",0,0,0,0,0,0,0,0,3995.041,3966.31,3904.163,3898.682
"GNQ","Equatorial Guinea","BEN","Benin",0,1,0,0,0,0,0,0,756.3616,733.7866,982.7085,953.9057
"ERI","Eritrea","BEN","Benin",0,0,0,0,0,0,0,0,4090.657,4059.231,4124.117,4119.403
"ETH","Ethiopia","BEN","Benin",0,0,0,0,0,0,0,0,4014.505,3983.975,4035.363,4031.608
"GAB","Gabon","BEN","Benin",0,1,1,0,1,0,0,0,1017.611,1003.014,1229.407,1198.006
"GMB","Gambia","BEN","Benin",0,0,0,0,0,0,0,0,2242.023,2265.253,2142.523,2137.234
"GHA","Ghana","BEN","Benin",0,0,0,0,0,0,0,0,320.5662,351.9941,426.673,387.0431
"GIN","Guinea","BEN","Benin",0,1,1,0,1,0,0,1,2039.141,2065.996,1680.777,1657.045
"GNB","Guinea-Bissau","BEN","Benin",0,0,0,0,0,0,0,0,2086.011,2110.578,2011.849,2009.153
"KEN","Kenya","BEN","Benin",0,0,0,0,0,0,0,0,3907.287,3880.667,3997.032,3986.304
"LSO","Lesotho","BEN","Benin",0,0,0,0,0,0,0,0,4789.684,4783.26,4945.367,4940.019
"LBR","Liberia","BEN","Benin",0,0,0,0,0,0,0,0,1469.321,1498.727,1417.138,1407.534
"LBY","Libya","BEN","Benin",0,0,0,0,0,0,0,0,3129.709,3109.606,3075.202,3045.118
